id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
53499,90070030,90070,30,ROBLEDO VILLA FLORA,250VF,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.56454427,6.247326,ORIGEN-DESTINO,2A,REGLAMENTARIA,1417
53237,90010056,90010,56,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.56847344,6.24137684,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1418
51892,90106018,90106,18,PILARICA,254IB_TV 73,INTEGRADA,TRANSPORTE MEDELLÍN CASTILLA,-75.59169715,6.27267703,DESTINO-ORIGEN,2B,REGLAMENTARIA,1419
52145,90094041,90094,41,CLÍNICA,260CL,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58598687,6.29218866,DESTINO-ORIGEN,2A,REGLAMENTARIA,1420
52521,90080026,90080,26,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57914694,6.25499074,ORIGEN-DESTINO,2A,REGLAMENTARIA,1421
51726,90061027,90061,27,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.59563765,6.26765477,DESTINO-ORIGEN,2A,REGLAMENTARIA,1422
50136,90090017,90090,17,DERECHA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL,255V3,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.65165625,6.31940408,DESTINO-ORIGEN,2A,REGLAMENTARIA,1423
54141,90007030,90007,30,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.55496776,6.24784305,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1424
52119,90099016,90099,16,ÉXITO,267,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58670436,6.27279364,ORIGEN-DESTINO,2A,REGLAMENTARIA,1425
51299,90003006,90003,6,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.60308578,6.23957123,ORIGEN-DESTINO,CIRCULAR IZQUIERDA 302,REGLAMENTARIA,1426
55275,90069013,90069,13,ROBLEDAL INTEGRADA,250IR,INTEGRADA,PALENQUE ROBLEDAL,-75.5879664,6.26207995,ORIGEN-DESTINO,2A,REGLAMENTARIA,1427
53627,90002022,90002,22,CIRCULAR 286,286,CIRCULAR,COMBUSES,-75.56270047,6.2649032,DESTINO-ORIGEN,CIRCULAR 286,REGLAMENTARIA,1428
51089,90016001,90016,1,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60783333,6.23429197,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA,1429
51912,90086023,90086,23,PALMITAS-CENTRO,255P,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59137935,6.26772474,ORIGEN-DESTINO,2A,REGLAMENTARIA,1430
50983,90005065,90005,65,CIRCULAR,300,CIRCULAR,COONATRA,-75.61071077,6.23330923,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1431
51084,90065007,90065,7,PAJARITO INTEGRADA,250AIP,INTEGRADA,PALENQUE ROBLEDAL,-75.60792029,6.28508789,DESTINO-ORIGEN,2A,REGLAMENTARIA,1432
53328,90097019,90097,19,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.56716124,6.26033783,ORIGEN-DESTINO,2A,REGLAMENTARIA,1433
52212,90011008,90011,8,RUTA DE LA SALUD DERECHA,308,CIRCULAR,COINVETRANS,-75.58455527,6.28249477,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1434
52550,90107009,90107,9,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57861985,6.29409434,ORIGEN-DESTINO,2B,REGLAMENTARIA,1435
53041,90014047,90014,47,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.57145992,6.23757321,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1436
52117,90082029,90082,29,SAN CRISTÓBAL -CONEXIÓN VIAL,255D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.58674659,6.26521621,DESTINO-ORIGEN,2A,REGLAMENTARIA,1437
