objectid;direccion;localizacion;link_foto;link_detalle;longitud;latitud
27;CR 64C CL 78;TERMINAL DEL NORTE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN8.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557220495;627864941
28;CR 63 CL 77;PUENTE DEL MICO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN7.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557019866;627608992
29;CL 54 CR 70;LA IGUANÁ;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN34.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558473623;626106871
30;CR 62 CL 58;HORACIO TORO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN9.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557345486;625990091
31;CR 63 CL 48;SURAMERICANA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN10.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557866371;62527634
32;CR 46 CL 52;PLAYA X ORIENTAL;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN15.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7556475378;624914528
33;CR 63D 42C;AV BOLIVARIANA - DEPRIMIDO MÁŠSICO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN38.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558201647;62471669
34;CR 63A CL 38;CONQUISTADORES;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557851351;624137038
35;CR 37 CL 47;INTERSEC BOMBEROS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN45.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-755603335;624207428
36;CL 34 CR 66B;ÉXITO UNICENTRO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN49.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558744526;623989857
37;CL 37 CR 50;FRENTE AKT;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN42.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557249463;623808014
38;CR 81 CL 30;AV 80;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN22.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7560208476;623100366
39;CR 49 CL 30;BANCOLOMBIA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN12.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557538069;623055571
40;CR 38 CL 18;AV LAS PALMAS - URB. PUNTA PIEDRA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN32.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7556670106;622809198
41;CR 48 CL 18A;AV INDUSTRIALES - CIUDAD DEL RÍO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN33.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557525731;622290318
