id_ruta;nombre;codigo;sistema;tipo;empresa;longitud;recorrido;from_date
90004;TERMINAL DEL NORTE-TERMINAL DEL SUR;313;CIRCULAR 313;CIRCULAR;COMBUSES;2043853;ORIGEN_DESTINO;11/05/2024 0:00
90172;TERMINAL DE TRANSPORTE NORTE;287;5A;DIRECTA CENTRO;AUTOBUSES POBLADO LAURELES;1018677;ORIGEN_DESTINO;11/05/2020 0:00
90098;TORRES;260T;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1460818;ORIGEN_DESTINO;27/08/2024 0:00
90254;TRES ESQUINAS;106;6F;DIRECTA CENTRO;COOTRANSMALLAT;1036539;ORIGEN_DESTINO;27/08/2024 0:00
90255;TRES ESQUINAS - MINORISTA;106;6F;DIRECTA CENTRO;COOTRANSMALLAT;1035606;ORIGEN_DESTINO;27/08/2024 0:00
90256;TRES ESQUINAS - MINORISTA HORARIO ESPECIAL;106;6F;DIRECTA CENTRO;COOTRANSMALLAT;741408;ORIGEN_DESTINO;27/08/2024 0:00
90066;TULIPANES LA HUERTA INTEGRADA;250AII;2A;INTEGRADA;PALENQUE ROBLEDAL;550612;ORIGEN_DESTINO;27/08/2024 0:00
90088;VEREDA EL LLANO - CENTRO;255V1D;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;3047472;ORIGEN_DESTINO;27/08/2024 0:00
90087;VEREDA EL LLANO - PARQUE SAN CRISTÓBAL;255V1;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;645831;ORIGEN_DESTINO;27/08/2024 0:00
90103;VEREDA LA ALDEA;255V;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;1045187;ORIGEN_DESTINO;27/08/2024 0:00
90102;VEREDA LA SUIZA-LA FRISOLA-LA GUAYABALA-LA VOLCANA;255V;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;191255;ORIGEN_DESTINO;27/08/2024 0:00
90089;VEREDA YOLOMBÓ - PARQUE SAN CRISTÓBAL;255V2;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;1529818;ORIGEN_DESTINO;27/08/2024 0:00
90365;VILLA FLORA-CURAZAO;250VF_C;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1654191;ORIGEN_DESTINO;11/11/2021 0:00
90068;VILLA FLORA INTEGRADA;250IVF;2A;INTEGRADA;PALENQUE ROBLEDAL;160265;ORIGEN_DESTINO;27/08/2024 0:00
90229;VILLA HERMOSA - DERECHO;81;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1193655;ORIGEN_DESTINO;27/08/2024 0:00
90227;VILLA HERMOSA - LA MANSIÓN;080 V-M;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1492203;ORIGEN_DESTINO;27/08/2024 0:00
90226;VILLA HERMOSA - LA MANSIÓN-DIRECTA LA 33;080 V-33;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1663046;ORIGEN_DESTINO;27/08/2024 0:00
90228;VILLA HERMOSA - LA MANSIÓN-DIRECTA ORIENTAL;080 V-O;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1261038;ORIGEN_DESTINO;27/08/2024 0:00
90230;VILLA HERMOSA - LOS ÁNGELES;082 V-LA;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1298178;ORIGEN_DESTINO;27/08/2024 0:00
90231;VILLA HERMOSA - LOS ÁNGELES - DIRECTA;082 V-LAD;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1308435;ORIGEN_DESTINO;27/08/2024 0:00
90370;VILLA HERMOSA-LOS ANGELES-HOSPITAL LA PILOTO;082 V-LA PILOTO;6D;DIRECTA CENTRO;FLOTA NUEVA VILLA;1296137;ORIGEN_DESTINO;27/08/2024 0:00
90304;VILLA LAURA-SAN JAVIER;221I;8A;INTEGRADA;CONDUCCIONES AMÉRICA;667472;ORIGEN_DESTINO;27/08/2024 0:00
90219;VILLANUEVA;37 - 39;6C;DIRECTA CENTRO;AUTOCOL;1886189;ORIGEN_DESTINO;13/07/2020 0:00
90272;VILLATINA;95;6H;DIRECTA CENTRO;COPATRA;1341747;ORIGEN_DESTINO;27/08/2024 0:00
90273;VILLATINA MINORISTA;95;6H;DIRECTA CENTRO;COPATRA;1645309;ORIGEN_DESTINO;27/08/2024 0:00
