id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada
50840,90093089,90093,89,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61457989,6.28125354,DESTINO-ORIGEN,2A,REGLAMENTARIA
53696,90006046,90006,46,CIRCULAR,301,CIRCULAR,COONATRA,-75.56164258,6.26156535,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
54331,90183040,90183,40,ÁVILA-IGLESIA CATALUÑA,102,DIRECTA CENTRO,COOTRANSCATALUÑA,-75.55152142,6.23021459,DESTINO-ORIGEN,6A,REGLAMENTARIA
52177,90003024,90003,24,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.58521551,6.19804436,ORIGEN-DESTINO,CIRCULAR IZQUIERDA 302,REGLAMENTARIA
52524,90107010,90107,10,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57906125,6.29273341,ORIGEN-DESTINO,2B,REGLAMENTARIA
51744,90088037,90088,37,VEREDA EL LLANO - CENTRO,255V1D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59521189,6.26265524,ORIGEN-DESTINO,2A,REGLAMENTARIA
50925,90061001,90061,1,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.61278569,6.27305427,ORIGEN-DESTINO,2A,REGLAMENTARIA
51320,90008054,90008,54,DIRECTA CIRCULAR,311,CIRCULAR,COONATRA,-75.60275931,6.27147528,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51315,90016014,90016,14,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60284271,6.23968847,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA
50918,90006072,90006,72,CIRCULAR,301,CIRCULAR,COONATRA,-75.61293416,6.23342519,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51964,90073039,90073,39,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59039329,6.27716895,DESTINO-ORIGEN,2A,REGLAMENTARIA
51926,90009006,90009,6,COMERCIAL HOTELERA DERECHA,304,CIRCULAR,INVETRANS,-75.59113954,6.26069771,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
51455,90015061,90015,61,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.60079839,6.24287379,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA
50802,90081004,90081,4,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61650956,6.28599884,ORIGEN-DESTINO,2A,REGLAMENTARIA
50613,90093011,90093,11,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.62369357,6.27891672,ORIGEN-DESTINO,2A,REGLAMENTARIA
53134,90004024,90004,24,TERMINAL DEL NORTE-TERMINAL DEL SUR,313,CIRCULAR,COMBUSES,-75.57010055,6.27867745,DESTINO-ORIGEN,CIRCULAR 313,REGLAMENTARIA
52628,90001011,90001,11,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.57721943,6.24668628,ORIGEN-DESTINO,CIRCULAR DERECHA 303,REGLAMENTARIA
50408,90089010,90089,10,VEREDA YOLOMBÓ - PARQUE SAN CRISTÓBAL,255V2,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63348561,6.27943796,DESTINO-ORIGEN,2A,REGLAMENTARIA
51715,90075035,90075,35,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59594955,6.26343365,DESTINO-ORIGEN,2A,REGLAMENTARIA
52098,90016062,90016,62,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.58731499,6.23941289,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA
53075,90015023,90015,23,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.57082165,6.23727446,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA
51499,90069002,90069,2,ROBLEDAL INTEGRADA,250IR,INTEGRADA,PALENQUE ROBLEDAL,-75.59996486,6.2886102,ORIGEN-DESTINO,2A,REGLAMENTARIA
53119,90011037,90011,37,RUTA DE LA SALUD DERECHA,308,CIRCULAR,COINVETRANS,-75.57027549,6.24468438,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
52192,90068001,90068,1,VILLA FLORA INTEGRADA,250IVF,INTEGRADA,PALENQUE ROBLEDAL,-75.58486841,6.29232364,ORIGEN-DESTINO,2A,REGLAMENTARIA
52275,90096024,90096,24,SEMINARIO INTEGRADA,260I,INTEGRADA,PALENQUE ROBLEDAL,-75.58337794,6.2791786,DESTINO-ORIGEN,2A,REGLAMENTARIA
53130,90012031,90012,31,RUTA DE LA SALUD DERECHA DIRECTA,308D,CIRCULAR,COINVETRANS,-75.57012656,6.23210927,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
52553,90104021,90104,21,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57854997,6.28269553,ORIGEN-DESTINO,2B,REGLAMENTARIA
51506,90063007,90063,7,BLANQUIZAL INTEGRADA,246I,INTEGRADA,COOTRANSBLAN,-75.59985704,6.27053418,ORIGEN-DESTINO,2A,REGLAMENTARIA
51563,90067003,90067,3,ROBLEDALES,250R,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59882813,6.28677442,ORIGEN-DESTINO,2A,REGLAMENTARIA
51786,90005016,90005,16,CIRCULAR,300,CIRCULAR,COONATRA,-75.59404454,6.23130135,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
52799,90001023,90001,23,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.57470661,6.22983984,DESTINO-ORIGEN,CIRCULAR DERECHA 303,REGLAMENTARIA
51807,90078003,90078,3,ROBLEDO AURES INTEGRADA,253IA,INTEGRADA,PALENQUE ROBLEDAL,-75.59346656,6.29210641,ORIGEN-DESTINO,2A,REGLAMENTARIA
52396,90075004,90075,4,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58158922,6.28963705,ORIGEN-DESTINO,2A,REGLAMENTARIA
52103,90014033,90014,33,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.58713383,6.25659054,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
52545,90104022,90104,22,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.5786753,6.27991113,ORIGEN-DESTINO,2B,REGLAMENTARIA
51241,90088023,90088,23,VEREDA EL LLANO - CENTRO,255V1D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.60420979,6.27821015,ORIGEN-DESTINO,2A,REGLAMENTARIA
52378,90080051,90080,51,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.58201606,6.29927924,DESTINO-ORIGEN,2A,REGLAMENTARIA
51721,90005015,90005,15,CIRCULAR,300,CIRCULAR,COONATRA,-75.59587253,6.23123848,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51545,90001043,90001,43,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.59925845,6.22170218,DESTINO-ORIGEN,CIRCULAR DERECHA 303,REGLAMENTARIA
50250,90088003,90088,3,VEREDA EL LLANO - CENTRO,255V1D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.64291366,6.28645248,ORIGEN-DESTINO,2A,REGLAMENTARIA
53213,90009020,90009,20,COMERCIAL HOTELERA DERECHA,304,CIRCULAR,INVETRANS,-75.5691933,6.23663173,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
53400,90010059,90010,59,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.56606276,6.24983202,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
53316,90080028,90080,28,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.56729223,6.2568196,ORIGEN-DESTINO,2A,REGLAMENTARIA
